"Subject" "Activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
1 "Walking" 1 1 0.27486626812983 -0.159470328907403 0.164265589549335 0.925749440293663 0.0102485106329366 0.0397385119865533 0.0768141832460587 -0.0600754008176198 0.124637634597866 -0.0314517570124884 -0.0269993608145286 0.0900151099156569 -0.0957028712672751 0.0182233446569861 0.0271080480923493 0.0271080480923493 -0.149530430086847 0.0998811376153478 -0.0703199752781762 -0.124995234640866 -0.273654211132148 -0.734007424034003 -0.909379584970634 -0.290723024409227 -0.804651469799073 -0.913534110332303 -0.354903199560587 -0.770199165255023 -0.480737085573416 -0.0258319862107975 -0.375318233107573 -0.0181502805692427 -0.109248084893354 -0.297977235408362 -0.211044961839258 -0.0369402897357032 -0.977548137357032 0.0159879247920889 0.000500165218823803 -0.240875542081747 -0.0704807621378563 0.0827784315209034 -0.475346415643277 -0.0432956061531376 -0.050179888227527 -0.372498531520402 -0.0421649959902164 -0.0095419600558408 -0.0095419600558408 0.10106696463906 -0.054381036697541 -0.0327078609057187 -0.361673064999227 -0.309067218527357 -0.164011695800342 -0.475313302655332 -0.257224548210309 -0.372903202755178 -0.308756621258145 -0.514788800117094 -0.937512090757342 -0.768813315459042 -0.370920437158578 -0.679321851088872
2 "Walking" 2 1 0.276922402717042 -0.101648320751752 0.319114652109887 0.933467414308682 -0.069987062645 0.101175214840997 0.0765366620281833 0.00698531967628617 0.189491044882588 -0.0416931747575884 -0.0768252700241415 0.225902870668971 -0.0877482970408151 0.0910181531538103 -0.0232100604431334 -0.0232100604431334 -0.1873634226059 0.0727924580229904 -0.141063817509386 -0.029024987326672 -0.314347984702653 -0.712875006527331 -0.901629801270097 -0.324859001170418 -0.728769567903987 -0.904587585980707 -0.354304485478617 -0.77187515392283 -0.476275002684887 0.0582584473993569 -0.408671924509164 -0.018057469273614 -0.108725464870418 -0.331845357906752 -0.213204226832797 0.0131483959752412 -0.976403485691318 0.0116878919185691 -0.00326728329480707 -0.288199950399775 -0.0644843777028617 0.0946886000203376 -0.477945621073955 -0.0476160821652412 -0.0594836903650322 -0.391127978326367 -0.028503634183119 0.0192603617077974 0.0192603617077974 0.0830287464933601 -0.0355448789896945 -0.0517351972691318 -0.312831132806431 -0.340112106046142 -0.170674445329904 -0.413287784688103 -0.314507687854662 -0.402142471094486 -0.313550559178939 -0.519208880122186 -0.936386199565916 -0.754814876691318 -0.263688441282717 -0.709164177366559
3 "Walking" 3 1 0.276010992439024 -0.204554667687561 0.131878840078049 0.951679121382114 -0.127838372162602 -0.138248311565041 0.0748130969563415 0.0201181616739837 0.0658487186796748 -0.0363734547130081 0.0392765092211382 -0.0689404548926829 -0.0910883643853659 0.00276484860365854 0.0810897206252033 0.0810897206252033 -0.0655306433634146 -0.00688187363495935 -0.0627967231534959 -0.0727671802845528 -0.334998389325203 -0.702075516910569 -0.937969308536585 -0.349560924308943 -0.819756792439024 -0.938378206504065 -0.404338811626016 -0.758020461626016 -0.457957279186992 0.0867123238138211 -0.287162668552846 -0.0173941138506504 -0.105249982262602 -0.352978195121951 -0.20686184804878 -0.0671985194545529 -0.978818395528455 0.0163512045162602 -0.00655943673495935 -0.324548622235772 -0.0710462314203252 0.0827269270211382 -0.474660756829268 -0.0508972408699187 -0.0473172388565041 -0.425251896666667 0.00550315211219512 0.0359164892333333 0.0359164892333333 0.102648551499187 0.0395648829626016 -0.140782312219512 -0.35804084300813 -0.361125045691057 -0.22454183404065 -0.489243552601626 -0.359239069837398 -0.357740515874878 -0.327878804471545 -0.500927983252032 -0.964585422764228 -0.774764154227642 -0.243801599374797 -0.582342962894309
4 "Walking" 4 1 0.278582015166667 0.118243599566667 0.186199354856667 0.963999696833333 -0.2810648057 0.05645850869 0.0783529082183333 0.251500198766667 0.296045602775 -0.0317982557795 0.06401113378 0.149403463741667 -0.115321556475 0.4561367636 -0.0935923042983333 -0.0935923042983333 -0.0876985370666667 0.0742182605716667 -0.203705174573333 -0.105221905636667 -0.426719449666667 -0.909461955 -0.978955181666667 -0.358883413666667 -0.9486415005 -0.980444192666667 -0.373384540666667 -0.9455466735 -0.532309173333333 0.126304675685 -0.237546613231667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0858540265666667 0.127764112666667 -0.983826494833333 0.00295602428666667 -0.000767679338333334 -0.297042612533333 -0.0726905278583333 0.0805677161216667 -0.500916659 -0.0393474489133333 -0.0551166852766667 -0.492341066833333 0.014649788853 -0.0678893910871667 -0.0678893910871667 0.065126777955 0.152922233035 -0.14939963344 -0.631005470833333 -0.447234929666667 -0.279553391533333 -0.728991595666667 -0.29732607245 -0.688460056666667 -0.601381129166667 -0.542646759 -0.951049456166667 -0.789538995166667 -0.168424087315 -0.585590468333333
5 "Walking" 5 1 0.27784234625 -0.091306385975 0.382942762321429 0.972624959821429 -0.132134900540714 0.0719275977798214 0.0845888833571429 -0.174639981366071 0.361415060485714 -0.0488919896632143 0.0893538097946429 -0.101311899116071 -0.0888408355267857 0.183207020967857 -0.00774206409642857 -0.00774206409642857 -0.113704546663036 0.0138942083482143 -0.398630743857143 0.186817668791071 -0.287782607410714 -0.847459651785714 -0.963559154642857 -0.344954806428571 -0.863341804642857 -0.9665828725 -0.372668749642857 -0.772766512142857 -0.602706270892857 -0.133269651119643 -0.452342156982143 -0.0172850317482679 -0.107741776464286 -0.294098534232143 -0.100440285303571 0.00247623628392857 -0.979348381428571 -0.0163194101232143 8.32159351785732e-05 -0.302891024625 -0.0690135249642857 0.0815435495892857 -0.490877497857143 -0.0449559531089286 -0.0482679596035714 -0.357681403285714 -0.112217308126786 -0.1050797851 -0.1050797851 -0.0136221673928571 -0.0147824973607143 0.00946037755178572 -0.490251090714286 -0.297517355196429 -0.181055554206071 -0.590496615535714 -0.3213903195 -0.513951718392857 -0.213127031035714 -0.529392790178571 -0.909107445714286 -0.852114960357143 -0.484825491180357 -0.721697647928571
6 "Walking" 6 1 0.283658868070175 -0.326302523157895 0.366354059473684 0.958067455087719 -0.0265285940526316 0.0169139699122807 0.0699585876912281 -0.241157472566667 0.322072496964912 -0.025509618645614 -0.0745771988631579 -0.0431788198070175 -0.0878891090105263 -0.0603934197719298 -0.0515653864912281 -0.0515653864912281 0.122057489987719 0.0849590885964912 -0.190365197042807 0.0283522050491228 -0.187934323140351 -0.877231828947368 -0.918992881754386 -0.150942917824561 -0.858828975263158 -0.917416949473684 -0.239650710533333 -0.82314740245614 -0.427731556491228 -0.190841074017544 -0.577739347631579 -0.0168954189082456 -0.110303165877193 -0.296538717368421 -0.214694852280702 0.0331888826842105 -0.977779896491228 -0.0164831715964912 -0.00738931200701754 -0.132784766936842 -0.0744462466 0.0838808799280702 -0.446020952631579 -0.0362308971842105 -0.0539597284210526 -0.18260093354386 -0.242126027338596 0.0430821487754386 0.0430821487754386 0.0583583812982456 -0.0010134570077193 0.140781621991228 -0.498520164385965 -0.34522769 -0.0753742321614035 -0.541438616140351 -0.19269469414386 -0.341378429473684 -0.203575458733333 -0.515323854385965 -0.790776615964912 -0.723624711754386 -0.59155113245614 -0.827672261403509
7 "Walking" 7 1 0.275592961754386 -0.194985284831579 0.60206422877193 0.932566472280702 0.187488615824561 0.424212271754386 0.0901462649192983 -0.30643702354386 0.546614814736842 0.00228835208526316 0.232027580782456 0.0406327858210526 -0.123654199751333 0.453893497017544 0.0243899634098246 0.0243899634098246 -0.133829387440351 0.154204348998246 -0.135685404491228 0.47971797322807 -0.343048405789474 -0.325855283807018 -0.83000385245614 -0.383715797719298 -0.414279812105263 -0.826544750175439 -0.318395104666667 -0.822532906491228 -0.31497558454386 0.114019696645614 -0.275164719473684 -0.018653665345614 -0.110912234947368 -0.327243240701754 -0.159097003684211 -0.160846924029807 -0.979851271403509 0.0184322723280702 -0.0210398551649123 -0.346026226140351 -0.0837113724842105 0.0641104602035088 -0.503313517017544 -0.0447766029745614 -0.0495713093294737 -0.21166729682807 -0.384458664329825 -0.0923080933192982 -0.0923080933192982 0.0794142048929825 0.0849310930229824 -0.0641564202736842 0.0385832252345614 -0.322034908070175 -0.123192887383684 -0.106490372892632 -0.365314790947368 -0.151966687436842 -0.366733617894737 -0.563615256666667 -0.913716383157895 -0.614521382631579 -0.205168012894737 -0.561264979157895
8 "Walking" 8 1 0.27468631 -0.194711654295833 0.168123973770833 0.913586347916667 -0.120799527145833 -0.15543173314375 0.0703393490833333 0.146338962020833 0.367506569208333 0.0235088228254167 -0.3473464451 0.258689555625 -0.135886431360417 -0.0411924152854167 -0.0167595107770833 -0.0167595107770833 -0.0595488944895833 -0.020593206975 -0.0612798239375 -0.255383628104167 -0.247389011875 -0.605638710833333 -0.878661203541667 -0.311198711041667 -0.669684554791667 -0.889397910625 -0.102063053808333 -0.545549133125 -0.524135959791667 -0.39337843475 -0.1877723786375 -0.0186628865310417 -0.107252090833333 -0.173605736002083 -0.217102194583333 -0.186267836962021 -0.974752050208333 -0.00603947514583333 -0.000673798876875 -0.2586886278125 -0.095791790535 0.0509657915395833 -0.1992097184375 -0.0314880905541667 -0.0522683965333333 -0.2460827504375 0.0748100397520833 -0.12289699009375 -0.12289699009375 -0.326515998729167 -0.00825722199375 0.316982393333333 -0.238634594791667 -0.148386858858333 0.0796832872416667 -0.361563262083333 -0.271448185291667 -0.259729692333333 -0.132902199479167 -0.234252005895833 -0.95374412375 -0.788114425 -0.7236211375 -0.475441646154167
9 "Walking" 9 1 0.278502842115385 -0.0484480115403846 -0.0466757132692308 0.951867079615385 0.15355297975 -0.176156275096154 0.0704357270480769 0.617604753653846 -0.123706675015385 -0.0808360598653846 -0.338106740098077 0.10255169175 -0.0809204094461538 0.0529765389653846 -0.0243787739538462 -0.0243787739538462 0.0146883366459615 0.335053106653846 0.0030910699 -0.10991331495 -0.294711163653846 -0.549559887115385 -0.922679107884615 -0.314265401346154 -0.706847698076923 -0.922810610384615 -0.383676120961538 -0.730414934615385 -0.504246373461538 0.236401498353846 -0.383847455308077 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.0314341738730769 0.127850593554231 -0.980971973653846 0.0212255910017308 0.00414762740192308 -0.206733787961538 -0.0625598710615385 0.111629779896154 -0.476163506730769 -0.0356283427038462 -0.0633406620592308 -0.526985309038462 0.156673064403846 0.000811984626923077 0.000811984626923077 -0.0645859088288462 -0.277710785192308 -0.257677616153846 -0.250806259788462 -0.218019977423077 -0.367706595 -0.399541245192308 -0.170228340134423 -0.436905860576923 -0.240222512134615 -0.507404512692308 -0.951322497307692 -0.772993254038462 -0.0195931503596154 -0.670427065730769
1 "Walking Upstairs" 1 2 0.2609497352 -0.22668037307375 0.0855625387858929 0.863515035303571 0.0494430703346429 0.0248918329791786 0.0798287078185536 -0.0822624781201071 0.127051664670089 -0.00177986857451786 -0.0930651455784464 0.100834029386964 -0.108151709203625 -0.0617168692140714 -0.07251891809425 -0.07251891809425 -0.0942858742364286 0.00234526683101786 -0.0468840080160179 -0.187503853807 -0.303849606719125 -0.576529850143393 -0.959979785107143 -0.409296061247143 -0.875590174357143 -0.962187484839286 -0.43028008832375 -0.688361587310179 -0.353171643682321 -0.272026379164071 -0.269009248008911 -0.0237442544181923 -0.11675033986125 -0.248402957224339 -0.281569884107143 -0.0594874230437804 -0.949092600785714 0.010386717392 -0.00450629540125 -0.3778666979625 -0.0820061337053179 0.0558883032176071 -0.48664604953875 -0.0409420285632857 -0.0479477356765 -0.590419539029286 -0.0540537687435714 0.094981850251 0.094981850251 -0.0784361487690179 -0.0136286551038571 -0.139090990061786 -0.373791083321607 -0.229284267509821 -0.370377594905357 -0.606886963103571 -0.401591514421054 -0.430002498098125 -0.345092151407143 -0.509470439046429 -0.966384223821429 -0.670682378071429 -0.593786909829107 -0.610416744236429
